DATE,NGDPRSAXDCKRQ
2014-01-01,399426600.0
2014-04-01,402933000.0
2014-07-01,404187400.0
2014-10-01,406170500.0
2015-01-01,409319800.0
2015-04-01,411297900.0
2015-07-01,417232800.0
2015-10-01,420169900.0
2016-01-01,421371400.0
2016-04-01,426455100.0
2016-07-01,428228900.0
2016-10-01,430824800.0
2017-01-01,435067500.0
2017-04-01,438176700.0
2017-07-01,444494500.0
2017-10-01,443072700.0
2018-01-01,448415500.0
2018-04-01,451270100.0
2018-07-01,454568200.0
2018-10-01,457751600.0
2019-01-01,456842600.0
2019-04-01,461684700.0
2019-07-01,464119800.0
2019-10-01,470019300.0
2020-01-01,463733000.0
2020-04-01,449696100.0
2020-07-01,460254000.0
2020-10-01,465840300.0
2021-01-01,473871700.0
2021-04-01,477820700.0
2021-07-01,478839600.0
2021-10-01,485245400.0
2022-01-01,488321700.0
2022-04-01,491931700.0
2022-07-01,493320800.0
